delta.rank	pval	level	nseqs	term	name	p.adj
1247	324	2.86259612516127e-19	5	15	GO:0038063;GO:0038065	collagen-activated signaling pathway	6.88740627713802e-16
487	285	3.98931127067901e-17	2	17	GO:0007566	embryo implantation	4.79914145862685e-14
1503	159	2.39832149701408e-14	3	45	GO:0045669	positive regulation of osteoblast differentiation	1.92345384060529e-11
676	229	4.68545806821091e-14	4	21	GO:0010715	regulation of extracellular matrix disassembly	2.81830302802886e-11
902	110	2.88594568157045e-10	2	64	GO:0030199	collagen fibril organization	1.15726421830975e-07
926	110	2.88594568157045e-10	5	64	GO:0030500;GO:0070167	regulation of biomineral tissue development	1.15726421830975e-07
144	158	4.00761809414119e-10	3	30	GO:0002526;GO:0006953	acute inflammatory response	1.37747559064339e-07
1501	106	5.67812877691149e-10	2	66	GO:0045667	regulation of osteoblast differentiation	1.70769722965613e-07
1240	143	2.76056863081274e-09	3	33	GO:0035988;GO:0003416	chondrocyte proliferation	7.37992013970606e-07
445	50	9.67310904249766e-08	2	221	GO:0007283;GO:0048232;GO:0007276	gamete generation	2.32735003562494e-05
1643	106	3.5174571569269e-07	2	44	GO:0048146	positive regulation of fibroblast proliferation	7.69363810869647e-05
683	103	4.86668989852185e-07	4	45	GO:0010763;GO:0010762	regulation of fibroblast migration	9.75771324653631e-05
1690	37	1.03815670973031e-06	2	352	GO:0048609	multicellular organismal reproductive process	0.000192138849508548
798	96	1.18997101631359e-06	4	48	GO:0018108;GO:0018212	peptidyl-tyrosine modification	0.000204505018946464
9	87	4.23195066518871e-06	3	53	GO:0000082;GO:0044843	G1/S transition of mitotic cell cycle	0.000636379581277752
993	87	4.23195066518871e-06	2	53	GO:0031214	biomineral tissue development	0.000636379581277752
51	158	7.19405762010644e-06	3	15	GO:0001655	urogenital system development	0.000910994875472426
825	158	7.19405762010644e-06	2	15	GO:0019915	lipid storage	0.000910994875472426
2009	158	7.19405762010644e-06	2	15	GO:0060413	atrial septum morphogenesis	0.000910994875472426
912	56	9.3548952681825e-06	3	119	GO:0030278	regulation of ossification	0.00112539390076235
