delta.rank	pval	level	nseqs	term	name	p.adj
87	0	0.0181666994848809	3	228	GO:0015629	actin cytoskeleton	1
206	0	0.0276149549221519	2	58	GO:0070603	SWI/SNF superfamily-type complex	1
134	0	0.0370175420083349	2	68	GO:0031252	cell leading edge	1
72	0	0.0390275607470796	2	70	GO:0005903	brush border	1
18	0	0.0400480495200195	2	71	GO:0001725;GO:0032432;GO:0042641	actomyosin	1
68	0	0.0400480495200195	4	71	GO:0005884	actin filament	1
90	0	0.0567893544473967	2	789	GO:0016023;GO:0031410	cytoplasmic vesicle	1
56	0	0.0580865792643244	2	198	GO:0005802	trans-Golgi network	1
165	0	0.0697879287194794	2	500	GO:0043025;GO:0044297	cell body	1
182	0	0.103358892529268	2	402	GO:0044441	ciliary part	1
84	0	0.119602112520008	2	424	GO:0009986	cell surface	1
171	0	0.121354196379364	3	272	GO:0043235	receptor complex	1
49	0	0.160128242086258	2	828	GO:0005783	endoplasmic reticulum	1
169	0	0.170393368869402	3	166	GO:0043204	perikaryon	1
130	0	0.186498007136498	1	333	GO:0031012	extracellular matrix	1
124	0	0.186539988987996	2	176	GO:0030667	secretory granule membrane	1
89	0	0.202108563545508	2	50	GO:0015934	large ribosomal subunit	1
129	0	0.209308393102956	4	52	GO:0030863	cortical cytoskeleton	1
57	0	0.212884666095282	2	53	GO:0005811	lipid particle	1
152	0	0.212884666095282	2	53	GO:0032420	stereocilium	1
