delta.rank	pval	level	nseqs	term	name	p.adj
549	0	0.00526312811258396	2	30	GO:0051019	mitogen-activated protein kinase binding	0.874592422602825
367	0	0.0068410174419292	6	15	GO:0019206	nucleoside kinase activity	0.874592422602825
102	0	0.00709304555134618	3	45	GO:0004702	receptor signaling protein serine/threonine kinase activity	0.874592422602825
385	0	0.0075861597728515	2	104	GO:0019905;GO:0000149	SNARE binding	0.874592422602825
105	0	0.00850868376895951	2	48	GO:0004712	protein serine/threonine/tyrosine kinase activity	0.874592422602825
195	0	0.00901522897242325	2	197	GO:0008022	protein C-terminus binding	0.874592422602825
319	0	0.0100035081016663	4	51	GO:0016776;GO:0019205	nucleobase-containing compound kinase activity	0.874592422602825
598	0	0.01156117028827	2	18	GO:0071949	FAD binding	0.884429527052655
338	0	0.0177482571880177	2	33	GO:0016860	intramolecular oxidoreductase activity	0.999920269892334
461	0	0.0191095337066394	4	61	GO:0035254	glutamate receptor binding	0.999920269892334
67	0	0.0205659258535336	2	325	GO:0003779	actin binding	0.999920269892334
97	0	0.0245515410647502	5	644	GO:0004672;GO:0016301;GO:0016773	kinase activity	0.999920269892334
68	0	0.0257737897126012	3	15	GO:0003785	actin monomer binding	0.999920269892334
140	0	0.0261170644932508	3	116	GO:0005057	receptor signaling protein activity	0.999920269892334
527	0	0.0263880458981052	2	22	GO:0046875	ephrin receptor binding	0.999920269892334
152	0	0.0360742640373513	4	18	GO:0005154	epidermal growth factor receptor binding	0.999920269892334
174	0	0.0360742640373513	2	18	GO:0005484	SNAP receptor activity	0.999920269892334
108	0	0.0391033768631027	3	38	GO:0004715	non-membrane spanning protein tyrosine kinase activity	0.999920269892334
500	0	0.0392082381091838	2	23	GO:0043325	phosphatidylinositol-3,4-bisphosphate binding	0.999920269892334
599	0	0.0397365327298562	2	127	GO:0072341;GO:0001786	modified amino acid binding	0.999920269892334
