delta.rank	pval	level	nseqs	term	name	p.adj
160	0	4.80726666649531e-10	2	115	GO:0005201	extracellular matrix structural constituent	2.94204719989513e-07
156	0	9.05179734206494e-07	2	144	GO:0005178	integrin binding	0.000276984998667187
121	0	2.38735214366432e-06	1	651	GO:0004872	receptor activity	0.000368643381800709
123	0	2.85836748232481e-06	2	538	GO:0004888;GO:0038023	signaling receptor activity	0.000368643381800709
106	0	3.01179233497311e-06	3	188	GO:0004713	protein tyrosine kinase activity	0.000368643381800709
158	0	4.28478442409005e-06	1	435	GO:0005198	structural molecule activity	0.000437048011257185
178	0	5.21321911264975e-06	3	612	GO:0005509	calcium ion binding	0.000455784299563092
107	0	1.12452030334178e-05	2	123	GO:0004714;GO:0019199	transmembrane receptor protein kinase activity	0.000860258032056462
545	0	1.53446291254027e-05	3	444	GO:0050839	cell adhesion molecule binding	0.00104343478052738
374	0	2.66760635489018e-05	3	160	GO:0019838	growth factor binding	0.00163257508919279
120	0	4.54500841908999e-05	2	727	GO:0004871;GO:0060089	signal transducer activity	0.00252867741134825
399	0	5.17010170647468e-05	3	45	GO:0030169;GO:0071813;GO:0071814	lipoprotein particle binding	0.00263675187030209
180	0	0.000127745689089521	2	117	GO:0005518	collagen binding	0.00601387397867591
217	0	0.000175020077941809	2	281	GO:0008201;GO:0005539;GO:1901681	sulfur compound binding	0.00765087769288479
114	0	0.000275360018385912	2	227	GO:0004857	enzyme inhibitor activity	0.0112346887501452
402	0	0.000305057423365269	2	188	GO:0030246	carbohydrate binding	0.0116684464437215
577	0	0.000372614135694027	3	36	GO:0070052;GO:0070051	fibrinogen binding	0.013414108884985
76	0	0.000596989982260207	2	259	GO:0004175	endopeptidase activity	0.0196760222417717
575	0	0.000610856899662848	2	143	GO:0061134	peptidase regulator activity	0.0196760222417717
496	0	0.000781415097063876	4	106	GO:0043130;GO:0032182	small conjugating protein binding	0.0239113019701546
