ortho	swissProt	name	egn	db	description
ORTHOMCL10715	Q8N6U8	GP161_HUMAN	GP161	HUMAN	G protein-coupled receptor 161 [Source:HGNC Symbol;Acc:HGNC:23694]
ORTHOMCL12108	Q4G0U5	PCDP1_HUMAN	PCDP1	HUMAN	cilia and flagella associated protein 221 [Source:HGNC Symbol;Acc:HGNC:33720]
ORTHOMCL13047	P29120	NEC1_HUMAN	NEC1	HUMAN	proprotein convertase subtilisin/kexin type 1 [Source:HGNC Symbol;Acc:HGNC:8743]
ORTHOMCL14049	Q9P2G1	AKIB1_HUMAN	AKIB1	HUMAN	ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]
ORTHOMCL18952	O60704	TPST2_HUMAN	TPST2	HUMAN	tyrosylprotein sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:12021]
ORTHOMCL5865	Q10588	BST1_HUMAN	BST1	HUMAN	bone marrow stromal cell antigen 1 [Source:HGNC Symbol;Acc:HGNC:1118]
ORTHOMCL8347	Q9NZB8	MOCS1_HUMAN	MOCS1	HUMAN	molybdenum cofactor synthesis 1 [Source:HGNC Symbol;Acc:HGNC:7190]
ORTHOMCL8535	O43182	RHG06_HUMAN	RHG06	HUMAN	Rho GTPase activating protein 6 [Source:HGNC Symbol;Acc:HGNC:676]
ORTHOMCL9048	Q6UXY8	TMC5_HUMAN	TMC5	HUMAN	transmembrane channel like 5 [Source:HGNC Symbol;Acc:HGNC:22999]
ORTHOMCL9624	Q96IG2	FXL20_HUMAN	FXL20	HUMAN	F-box and leucine rich repeat protein 20 [Source:HGNC Symbol;Acc:HGNC:24679]
ORTHOMCL9992	O60244	MED14_HUMAN	MED14	HUMAN	mediator complex subunit 14 [Source:HGNC Symbol;Acc:HGNC:2370]
ORTHOMCL12345	O14657	TOR1B_HUMAN	TOR1B	HUMAN	torsin family 1 member B [Source:HGNC Symbol;Acc:HGNC:11995]
ORTHOMCL9321	Q1JPD3	D2HDH_BOVIN	D2HDH	BOVIN	D-2-hydroxyglutarate dehydrogenase [Source:VGNC Symbol;Acc:VGNC:27861]
ORTHOMCL4939	A6H7H7	FBX3_BOVIN	FBX3	BOVIN	F-box protein 3 [Source:VGNC Symbol;Acc:VGNC:28902]
ORTHOMCL5699	Q32KL4	RMD1_BOVIN	RMD1	BOVIN	Regulator of microtubule dynamics protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q32KL4]
ORTHOMCL5955	O77750	AQP4_BOVIN	AQP4	BOVIN	Bos taurus aquaporin 4 (AQP4), transcript variant 1, mRNA. [Source:RefSeq mRNA;Acc:NM_001317792]
ORTHOMCL7313	Q0P595	SIR7_BOVIN	SIR7	BOVIN	sirtuin 7 [Source:VGNC Symbol;Acc:VGNC:34636]
ORTHOMCL2593	Q6DGW9	TMCO1_DANRE	TMCO1	DANRE	transmembrane and coiled-coil domains 1 [Source:ZFIN;Acc:ZDB-GENE-050417-344]
ORTHOMCL7102	Q6NYK8	MARH5_DANRE	MARH5	DANRE	membrane-associated ring finger (C3HC4) 5, like [Source:ZFIN;Acc:ZDB-GENE-030131-4792]
ORTHOMCL3777	Q7SXR3	MAEA_DANRE	MAEA	DANRE	macrophage erythroblast attacher [Source:ZFIN;Acc:ZDB-GENE-030131-294]
ORTHOMCL10666	none	NA	NA	NA	none
ORTHOMCL10808	Q61467	ZIC4_MOUSE	ZIC4	MOUSE	none
ORTHOMCL21635	Q3UIR3	DTX3L_MOUSE	DTX3L	MOUSE	none
ORTHOMCL3321	none	NA	NA	NA	none
ORTHOMCL4486	Q9QZB9	DCTN5_MOUSE	DCTN5	MOUSE	none
ORTHOMCL7254	Q5R839	S41A1_PONAB	S41A1	PONAB	none
ORTHOMCL1154	Q27245	YH24_CAEEL	YH24	CAEEL	none
ORTHOMCL12385	Q7SIC1	FUCL_ANGAN	FUCL	ANGAN	none
ORTHOMCL2299	A0QZA1	Y3950_MYCS2	Y3950	MYCS2	none
ORTHOMCL2315	Q5NC57	F183B_MOUSE	F183B	MOUSE	none
ORTHOMCL4898	none	NA	NA	NA	none
ORTHOMCL5886	none	NA	NA	NA	none
ORTHOMCL7557	A6QQL0	S15A4_BOVIN	S15A4	BOVIN	none
