ortho	swissProt	name	egn	db	description
ORTHOMCL10199	Q5VUJ6	LRCH2_HUMAN	LRCH2	HUMAN	leucine rich repeats and calponin homology domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29292]
ORTHOMCL10473	Q14166	TTL12_HUMAN	TTL12	HUMAN	tubulin tyrosine ligase like 12 [Source:HGNC Symbol;Acc:HGNC:28974]
ORTHOMCL10514	Q5T2S8	ARMC4_HUMAN	ARMC4	HUMAN	armadillo repeat containing 4 [Source:HGNC Symbol;Acc:HGNC:25583]
ORTHOMCL10794	Q9NZN8	CNOT2_HUMAN	CNOT2	HUMAN	CCR4-NOT transcription complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:7878]
ORTHOMCL11155	Q9NXG6	P4HTM_HUMAN	P4HTM	HUMAN	prolyl 4-hydroxylase, transmembrane [Source:HGNC Symbol;Acc:HGNC:28858]
ORTHOMCL11301	O60462	NRP2_HUMAN	NRP2	HUMAN	neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]
ORTHOMCL11541	Q9HAR2	AGRL3_HUMAN	AGRL3	HUMAN	adhesion G protein-coupled receptor L3 [Source:HGNC Symbol;Acc:HGNC:20974]
ORTHOMCL12242	Q8IZD2	KMT2E_HUMAN	KMT2E	HUMAN	lysine methyltransferase 2E [Source:HGNC Symbol;Acc:HGNC:18541]
ORTHOMCL12269	Q9P232	CNTN3_HUMAN	CNTN3	HUMAN	contactin 3 [Source:HGNC Symbol;Acc:HGNC:2173]
ORTHOMCL14156	O95714	HERC2_HUMAN	HERC2	HUMAN	HECT and RLD domain containing E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:4868]
ORTHOMCL14244	Q9H5U6	ZCHC4_HUMAN	ZCHC4	HUMAN	zinc finger CCHC-type containing 4 [Source:HGNC Symbol;Acc:HGNC:22917]
ORTHOMCL14405	Q96A44	SPSB4_HUMAN	SPSB4	HUMAN	splA/ryanodine receptor domain and SOCS box containing 4 [Source:HGNC Symbol;Acc:HGNC:30630]
ORTHOMCL14532	Q53G59	KLH12_HUMAN	KLH12	HUMAN	kelch like family member 12 [Source:HGNC Symbol;Acc:HGNC:19360]
ORTHOMCL15512	Q9NR09	BIRC6_HUMAN	BIRC6	HUMAN	baculoviral IAP repeat containing 6 [Source:HGNC Symbol;Acc:HGNC:13516]
ORTHOMCL15544	Q9NY37	ASIC5_HUMAN	ASIC5	HUMAN	acid sensing ion channel subunit family member 5 [Source:HGNC Symbol;Acc:HGNC:17537]
ORTHOMCL2628	Q96NB2	SFXN2_HUMAN	SFXN2	HUMAN	sideroflexin 2 [Source:HGNC Symbol;Acc:HGNC:16086]
ORTHOMCL2878	Q13772	NCOA4_HUMAN	NCOA4	HUMAN	nuclear receptor coactivator 4 [Source:HGNC Symbol;Acc:HGNC:7671]
ORTHOMCL2985	Q9BUH8	BEGIN_HUMAN	BEGIN	HUMAN	brain enriched guanylate kinase associated [Source:HGNC Symbol;Acc:HGNC:24163]
ORTHOMCL4662	Q4G0X9	CCD40_HUMAN	CCD40	HUMAN	coiled-coil domain containing 40 [Source:HGNC Symbol;Acc:HGNC:26090]
ORTHOMCL4852	P49795	RGS19_HUMAN	RGS19	HUMAN	regulator of G protein signaling 19 [Source:HGNC Symbol;Acc:HGNC:13735]
