delta.rank	pval	level	nseqs	term	name	p.adj
185	0	0.0797219598710919	2	332	GO:0044419;GO:0016032;GO:0044403;GO:0044764	interspecies interaction between organisms	1
266	0	0.0801921792126579	2	334	GO:0071705	nitrogen compound transport	1
187	0	0.116268663979871	2	489	GO:0044712	single-organism catabolic process	1
251	0	0.131639606449271	3	556	GO:0055085	transmembrane transport	1
34	0	0.152300599121865	3	647	GO:0006629;GO:0044255	lipid metabolic process	1
247	0	0.17783258112658	1	761	GO:0051704	multi-organism process	1
99	0	0.198372151287283	2	854	GO:0015031	protein transport	1
1	0	1	5	453	GO:0000122	negative regulation of transcription from RNA polymerase II promoter	1
2	0	1	2	265	GO:0000226	microtubule cytoskeleton organization	1
3	0	1	5	284	GO:0000904;GO:0000902	cell morphogenesis	1
4	0	1	3	222	GO:0001101	response to acid	1
5	0	1	2	226	GO:0001525	angiogenesis	1
6	0	1	2	270	GO:0001558	regulation of cell growth	1
7	0	1	2	392	GO:0001775;GO:0045321	cell activation	1
8	0	1	2	285	GO:0001817	regulation of cytokine production	1
9	0	1	2	726	GO:0001932	regulation of protein phosphorylation	1
10	0	1	8	224	GO:0001933	negative regulation of protein phosphorylation	1
11	0	1	8	474	GO:0001934	positive regulation of protein phosphorylation	1
12	0	1	3	381	GO:0002009;GO:0048729	tissue morphogenesis	1
13	0	1	2	310	GO:0002252	immune effector process	1
