delta.rank	pval	level	nseqs	term	name	p.adj
32	0	0.0391594285599484	3	285	GO:0017016;GO:0031267;GO:0051020	GTPase binding	0.879089484143193
49	0	0.0444886151386689	2	232	GO:0060589	nucleoside-triphosphatase regulator activity	0.879089484143193
4	0	0.0784204553663195	2	334	GO:0000989;GO:0000988;GO:0003712	protein binding transcription factor activity	0.879089484143193
9	0	0.089607961201007	4	345	GO:0004842;GO:0019787;GO:0016881;GO:0016879	ligase activity, forming carbon-nitrogen bonds	0.879089484143193
15	0	0.143109345749708	2	537	GO:0005509	calcium ion binding	0.879089484143193
18	0	0.15161818422642	2	323	GO:0008047	enzyme activator activity	0.879089484143193
30	0	0.166965660813572	2	406	GO:0016874	ligase activity	0.879089484143193
21	0	0.171800475558116	6	716	GO:0008270;GO:0046914	transition metal ion binding	0.879089484143193
26	0	0.172290828876446	4	561	GO:0016301;GO:0004672;GO:0016773	kinase activity	0.879089484143193
37	0	0.20272516396445	1	584	GO:0030234	enzyme regulator activity	0.879089484143193
20	0	0.213809228876465	2	360	GO:0008134	transcription factor binding	0.879089484143193
28	0	0.232375850661233	2	685	GO:0016772	transferase activity, transferring phosphorus-containing groups	0.879089484143193
23	0	0.23372239915546	4	295	GO:0008324;GO:0046873;GO:0022890	cation transmembrane transporter activity	0.879089484143193
38	0	0.246145055560094	2	226	GO:0031625;GO:0044389	small conjugating protein ligase binding	0.879089484143193
24	0	0.274934735123247	3	472	GO:0015075;GO:0022891;GO:0022857	transmembrane transporter activity	0.9114297210278
8	0	0.291657510728896	6	322	GO:0004674	protein serine/threonine kinase activity	0.9114297210278
48	0	0.357645106785637	3	270	GO:0050839	cell adhesion molecule binding	0.955998842035708
5	0	0.449041939099295	2	392	GO:0003682	chromatin binding	0.955998842035708
14	0	0.452136197137946	5	221	GO:0005216;GO:0022838;GO:0015267;GO:0022803	passive transmembrane transporter activity	0.955998842035708
16	0	0.452136197137946	2	221	GO:0005525;GO:0032561;GO:0019001	guanyl ribonucleotide binding	0.955998842035708
