delta.rank	pval	level	nseqs	term	name	p.adj
54	0	0.000645362193370526	2	505	GO:0007155;GO:0022610	biological adhesion	0.178205274529382
31	0	0.0012549667220379	4	734	GO:0006508	proteolysis	0.178205274529382
85	0	0.0030734245882331	2	868	GO:0009967	positive regulation of signal transduction	0.226847244682493
62	0	0.00319503161524638	2	408	GO:0007399	nervous system development	0.226847244682493
198	0	0.00491308767116897	3	560	GO:0048468	cell development	0.279063379722397
63	0	0.00816923087937763	5	222	GO:0007411;GO:0097485	neuron projection guidance	0.386676928290541
205	0	0.0162836642396899	2	254	GO:0048638	regulation of developmental growth	0.56262065652766
169	0	0.0175979972928915	3	258	GO:0043254	regulation of protein complex assembly	0.56262065652766
242	0	0.0197292126896049	2	326	GO:0051707	response to other organism	0.56262065652766
224	0	0.0199378113922252	3	741	GO:0051094	positive regulation of developmental process	0.56262065652766
207	0	0.0221326732388955	3	751	GO:0048731	system development	0.56262065652766
168	0	0.0237727037969434	3	471	GO:0043207;GO:0009607	response to biotic stimulus	0.56262065652766
119	0	0.0283454503257145	3	701	GO:0030030	cell projection organization	0.619239068654071
189	0	0.0360861766677661	2	505	GO:0045597	positive regulation of cell differentiation	0.69187112008439
43	0	0.0365424887368516	2	367	GO:0006897	endocytosis	0.69187112008439
240	0	0.0484663589538374	2	320	GO:0051493	regulation of cytoskeleton organization	0.828824847693494
180	0	0.0496127549675683	2	608	GO:0044087	regulation of cellular component biogenesis	0.828824847693494
156	0	0.0581111505773911	1	701	GO:0040011;GO:0016477;GO:0048870	locomotion	0.841116853305903
162	0	0.0610477811612558	2	204	GO:0043062	extracellular structure organization	0.841116853305903
226	0	0.0621815836574958	2	482	GO:0051129	negative regulation of cellular component organization	0.841116853305903
