delta.rank	pval	level	nseqs	term	name	p.adj
26	0	0.0127397140154484	4	561	GO:0016301;GO:0004672;GO:0016773	kinase activity	0.478515373416969
22	0	0.0372111162348868	2	472	GO:0008289	lipid binding	0.478515373416969
19	0	0.0468235814063011	2	673	GO:0008092	cytoskeletal protein binding	0.478515373416969
32	0	0.0561497326803785	2	285	GO:0017016;GO:0031267;GO:0051020	GTPase binding	0.478515373416969
46	0	0.0665111708658649	2	301	GO:0046982	protein heterodimerization activity	0.478515373416969
25	0	0.0890335196614614	4	249	GO:0015631	tubulin binding	0.478515373416969
15	0	0.10883608450052	5	537	GO:0005509	calcium ion binding	0.478515373416969
6	0	0.111623753404927	4	273	GO:0003779	actin binding	0.478515373416969
28	0	0.117424066612857	3	685	GO:0016772	transferase activity, transferring phosphorus-containing groups	0.478515373416969
18	0	0.128704320286735	2	323	GO:0008047	enzyme activator activity	0.478515373416969
3	0	0.133112809650815	3	528	GO:0000981;GO:0003700;GO:0001071	sequence-specific DNA binding transcription factor activity	0.478515373416969
49	0	0.137419786411201	2	232	GO:0060589	nucleoside-triphosphatase regulator activity	0.478515373416969
50	0	0.138952892531641	3	375	GO:0070011;GO:0008233	peptidase activity	0.478515373416969
38	0	0.15331321407308	5	226	GO:0031625;GO:0044389	small conjugating protein ligase binding	0.478515373416969
9	0	0.15591814005688	6	345	GO:0004842;GO:0019787;GO:0016881;GO:0016879	ligase activity, forming carbon-nitrogen bonds	0.478515373416969
17	0	0.169895364861853	2	317	GO:0005543	phospholipid binding	0.478515373416969
8	0	0.171482335379984	2	322	GO:0004674	protein serine/threonine kinase activity	0.478515373416969
37	0	0.172265534430109	1	584	GO:0030234	enzyme regulator activity	0.478515373416969
7	0	0.210678662490975	5	225	GO:0004175	endopeptidase activity	0.554417532870987
43	0	0.231208201402147	2	580	GO:0042803	protein homodimerization activity	0.578020503505367
