delta.rank	pval	level	nseqs	term	name	p.adj
54	0	5.54288702473866e-07	2	505	GO:0007155;GO:0022610	biological adhesion	0.000157417991502578
46	0	0.0004333515137538	2	329	GO:0006955	immune response	0.0615359149530396
240	0	0.000770710043176615	2	320	GO:0051493	regulation of cytoskeleton organization	0.0729605507540529
95	0	0.00113935586689999	2	274	GO:0010769	regulation of cell morphogenesis involved in differentiation	0.073779999043696
14	0	0.00156543243645346	1	764	GO:0002376	immune system process	0.073779999043696
205	0	0.00171146004028402	2	254	GO:0048638	regulation of developmental growth	0.073779999043696
156	0	0.00181852110318969	1	701	GO:0040011;GO:0016477;GO:0048870	locomotion	0.073779999043696
43	0	0.00278730609428697	2	367	GO:0006897	endocytosis	0.0989493663471874
168	0	0.00337757563671771	3	471	GO:0043207;GO:0009607	response to biotic stimulus	0.106581275647537
169	0	0.0040864756648877	4	258	GO:0043254	regulation of protein complex assembly	0.110307060360492
207	0	0.00427245656325851	3	751	GO:0048731	system development	0.110307060360492
227	0	0.00542492012664276	2	806	GO:0051130	positive regulation of cellular component organization	0.128389776330545
162	0	0.00644459487001474	2	204	GO:0043062	extracellular structure organization	0.134490591052858
124	0	0.00662981786880288	2	647	GO:0030334;GO:2000145;GO:0040012;GO:0051270	regulation of locomotion	0.134490591052858
117	0	0.00867576560231053	3	398	GO:0022604	regulation of cell morphogenesis	0.164261162070413
180	0	0.00937244109110794	3	608	GO:0044087	regulation of cellular component biogenesis	0.164534896443063
201	0	0.00984891985750732	2	336	GO:0048589;GO:0040007	growth	0.164534896443063
85	0	0.0156239676533107	2	868	GO:0009967	positive regulation of signal transduction	0.246511489641124
102	0	0.0169195926631362	4	246	GO:0016197	endosomal transport	0.252903385070036
45	0	0.0215896483666571	2	457	GO:0006952	defense response	0.299302490803683
