delta.rank	pval	level	nseqs	term	name	p.adj
169	0	2.07217277733174e-07	2	477	GO:0043207;GO:0009607	response to biotic stimulus	5.98857932648873e-05
248	0	4.7542710679458e-07	3	331	GO:0051707	response to other organism	6.86992169318168e-05
55	0	1.30349697642386e-06	2	516	GO:0007155;GO:0022610	biological adhesion	0.000125570208728832
247	0	3.54803199477749e-06	1	761	GO:0051704	multi-organism process	0.000256345311622674
215	0	7.95848337789404e-05	2	855	GO:0050767;GO:0051960;GO:0060284	regulation of cell development	0.00460000339242275
86	0	0.000165419336495117	2	880	GO:0009967	positive regulation of signal transduction	0.00743384664598746
14	0	0.000180058569279973	1	777	GO:0002376	immune system process	0.00743384664598746
239	0	0.000259639864572695	2	442	GO:0051301	cell division	0.00861067643239177
142	0	0.000276436549137203	4	443	GO:0032880	regulation of protein localization	0.00861067643239177
227	0	0.000297947281397639	2	618	GO:0051093	negative regulation of developmental process	0.00861067643239177
233	0	0.000410388601991695	5	334	GO:0051223;GO:0070201	regulation of establishment of protein localization	0.0107820278159636
46	0	0.000505722359767898	2	337	GO:0006955	immune response	0.011602220577031
156	0	0.000521899195506583	1	714	GO:0040011;GO:0016477;GO:0048870	locomotion	0.011602220577031
87	0	0.000669015329916688	2	825	GO:0009968;GO:0010648;GO:0023057	negative regulation of cell communication	0.0138103878818516
117	0	0.000887797267140264	2	697	GO:0022603	regulation of anatomical structure morphogenesis	0.0171048940135691
96	0	0.00100128191636314	5	277	GO:0010769	regulation of cell morphogenesis involved in differentiation	0.0180856546143092
285	0	0.00113333580469611	6	579	GO:1902533	positive regulation of intracellular signal transduction	0.0188578770805783
185	0	0.00117453905692183	2	332	GO:0044419;GO:0016032;GO:0044403;GO:0044764	interspecies interaction between organisms	0.0188578770805783
143	0	0.00129747334600826	4	212	GO:0032970	regulation of actin filament-based process	0.0197352524734941
163	0	0.00145640797763073	2	205	GO:0043062	extracellular structure organization	0.021045095276764
