delta.rank	pval	level	nseqs	term	name	p.adj
33	0	0.0224640926416814	3	292	GO:0017016;GO:0031267;GO:0051020	GTPase binding	0.843691657665025
20	0	0.0318374210439632	2	680	GO:0008092	cytoskeletal protein binding	0.843691657665025
6	0	0.0681170750860681	3	277	GO:0003779	actin binding	0.959279354598743
14	0	0.0769819578208197	1	410	GO:0005198	structural molecule activity	0.959279354598743
41	0	0.0998163340056036	2	577	GO:0032403	protein complex binding	0.959279354598743
35	0	0.116996881362452	4	466	GO:0019901;GO:0019900	kinase binding	0.959279354598743
40	0	0.140207641310512	4	232	GO:0031625;GO:0044389	small conjugating protein ligase binding	0.959279354598743
53	0	0.161248431862037	2	379	GO:0070011;GO:0008233	peptidase activity	0.959279354598743
26	0	0.162896494177145	2	249	GO:0015631	tubulin binding	0.959279354598743
45	0	0.234460840312562	4	591	GO:0042803	protein homodimerization activity	1
4	0	0.296678526793753	2	339	GO:0000989;GO:0000988;GO:0003712	protein binding transcription factor activity	1
21	0	0.332710716949954	2	362	GO:0008134	transcription factor binding	1
7	0	0.364414676857779	5	226	GO:0004175	endopeptidase activity	1
2	0	0.390880893199364	5	239	GO:0000978;GO:0000987;GO:0001159	core promoter proximal region sequence-specific DNA binding	1
13	0	0.411906208585823	3	747	GO:0005102	receptor binding	1
37	0	0.422499235117813	2	587	GO:0022892;GO:0005215	transporter activity	1
24	0	0.500740991245806	5	296	GO:0008324;GO:0046873;GO:0022890	cation transmembrane transporter activity	1
25	0	0.506983904325839	4	476	GO:0015075;GO:0022891;GO:0022857	transmembrane transporter activity	1
49	0	0.51698502289624	3	305	GO:0046982	protein heterodimerization activity	1
50	0	0.527643504313249	2	848	GO:0046983	protein dimerization activity	1
