seq	name.x	term	lev	value	swissProt	name.y	egn	db	description
ORTHOMCL10346	anchoring junction	GO:0005912;GO:0070161	2	1	Q9UHB6	LIMA1_HUMAN	LIMA1	HUMAN	LIM domain and actin binding 1 [Source:HGNC Symbol;Acc:HGNC:24636]
ORTHOMCL10853	anchoring junction	GO:0005912;GO:0070161	2	1	Q13308	PTK7_HUMAN	PTK7	HUMAN	protein tyrosine kinase 7 (inactive) [Source:HGNC Symbol;Acc:HGNC:9618]
ORTHOMCL12636	anchoring junction	GO:0005912;GO:0070161	2	1	Q9Y490	TLN1_HUMAN	TLN1	HUMAN	talin 1 [Source:HGNC Symbol;Acc:HGNC:11845]
ORTHOMCL12979	anchoring junction	GO:0005912;GO:0070161	2	1	Q8TDM6	DLG5_HUMAN	DLG5	HUMAN	discs large MAGUK scaffold protein 5 [Source:HGNC Symbol;Acc:HGNC:2904]
ORTHOMCL14888	anchoring junction	GO:0005912;GO:0070161	2	1	Q8N556	AFAP1_HUMAN	AFAP1	HUMAN	actin filament associated protein 1 [Source:HGNC Symbol;Acc:HGNC:24017]
ORTHOMCL15391	anchoring junction	GO:0005912;GO:0070161	2	1	O60242	AGRB3_HUMAN	AGRB3	HUMAN	adhesion G protein-coupled receptor B3 [Source:HGNC Symbol;Acc:HGNC:945]
ORTHOMCL17211	anchoring junction	GO:0005912;GO:0070161	2	1	P82279	CRUM1_HUMAN	CRUM1	HUMAN	crumbs 1, cell polarity complex component [Source:HGNC Symbol;Acc:HGNC:2343]
ORTHOMCL1772	anchoring junction	GO:0005912;GO:0070161	2	1	Q92597	NDRG1_HUMAN	NDRG1	HUMAN	N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]
ORTHOMCL20096	anchoring junction	GO:0005912;GO:0070161	2	1	P16621	LAR_DROME	LAR	DROME	Leukocyte-antigen-related-like [Source:FlyBase;Acc:FBgn0000464]
ORTHOMCL3753	anchoring junction	GO:0005912;GO:0070161	2	1	O14901	KLF11_HUMAN	KLF11	HUMAN	Kruppel like factor 11 [Source:HGNC Symbol;Acc:HGNC:11811]
ORTHOMCL5710	anchoring junction	GO:0005912;GO:0070161	2	1	P08133	ANXA6_HUMAN	ANXA6	HUMAN	annexin A6 [Source:HGNC Symbol;Acc:HGNC:544]
ORTHOMCL5783	anchoring junction	GO:0005912;GO:0070161	2	1	Q3B7N2	ACTN1_BOVIN	ACTN1	BOVIN	actinin alpha 1 [Source:VGNC Symbol;Acc:VGNC:25581]
ORTHOMCL6140	anchoring junction	GO:0005912;GO:0070161	2	1	P46531	NOTC1_HUMAN	NOTC1	HUMAN	notch 1 [Source:HGNC Symbol;Acc:HGNC:7881]
ORTHOMCL6604	anchoring junction	GO:0005912;GO:0070161	2	1	Q8WUM4	PDC6I_HUMAN	PDC6I	HUMAN	programmed cell death 6 interacting protein [Source:HGNC Symbol;Acc:HGNC:8766]
